Index,Barcode,Name,Price,Stock,Transactions,Capacity,Percent,Status
1,5601924701940,Thandai Premix 200g,295.13,129,-38,553,23.33,1
2,6905865771291,Kashmiri Kahwa 100g,535.43,194,-21,982,19.76,0
5,6905959492804,Brass Serving Bowl,449.63,233,-27,841,27.71,0
7,5003508138775,CC Cream 30ml,284.07,174,-22,954,18.24,1
8,8703696115769,Jowar Flour 500g,258.40,142,-45,800,17.75,1
8,8003376570032,Hoodie Sweatshirt M,1737.79,220,-14,802,27.43,1
9,5007457466200,Gloves Woollen,532.70,112,-46,405,27.65,0
10,5008245523976,Palazzo Pants M,1161.01,171,-43,716,23.88,0
11,8706005682792,Micellar Water 200ml,195.10,118,-41,576,20.49,1
11,8008047347302,Pre-Shave Oil 30ml,246.58,100,-39,873,11.45,0
13,8009547446748,Antacid Tablet 15tabs,239.52,122,-16,509,23.97,0
14,5605759750012,Hair Spray 250ml,326.49,112,-6,504,22.22,1
15,6908388803043,Sketch Pencil Set 12pcs,73.72,125,-5,821,15.23,0
15,8902276132497,Essential Oil Eucalyptus 10ml,503.90,100,-8,731,13.68,0
16,4004650356216,Handkerchief 5pack,59.05,109,-45,329,33.13,1
19,6904173775441,Lungi Check,209.36,234,-34,900,26.00,0
20,8701870044584,Kids Jeans 6yr,1086.50,121,-32,708,17.09,0
20,5008742403702,Eraser White,37.21,174,-6,641,27.15,1
21,8903390477952,Oat Cookies 150g,237.02,107,-1,357,29.97,1
21,5601043314120,Menthol Patch 4pcs,102.26,190,-46,883,21.52,0
22,8003243042969,Choco Pie 6pcs,389.70,247,-13,886,27.88,0
22,4008029578827,Whiteboard Marker Red,205.26,126,-49,665,18.95,0
24,4009063697864,Chole Masala 50g,218.31,109,-13,352,30.97,0
26,3009409933985,Pain Relief Patch 5pcs,758.25,135,-45,613,22.02,0
26,4004220692133,Culottes M,86.29,199,-44,603,33.00,0
27,8905142308521,Sanitary Pads Regular 10pcs,584.92,117,-20,372,31.45,1
27,3008190083633,Pie Dish 23cm,644.52,205,-9,657,31.20,1
27,5607076191523,Agility Ladder 6m,618.79,146,-35,565,25.84,1
27,5005123948920,Masala Chai 250g,419.79,194,-6,649,29.89,0
29,3003955109412,Choco Chip Cookies 150g,95.25,103,-18,365,28.22,0
30,8009187884580,Baked Ragi Chips 60g,74.92,173,-18,695,24.89,1
31,5001724932313,Shahi Paneer Masala 50g,937.11,103,-47,424,24.29,0
31,8903432413047,Kashmiri Red Chilli 100g,777.63,160,-12,482,33.20,0
32,8008799201822,Palette Plastic 12-well,265.60,108,-9,607,17.79,0
33,8009523396258,Binding Comb 10mm 25pcs,32.43,174,-8,952,18.28,1
33,8005860543720,Laptop Bag 15inch,602.66,190,-44,679,27.98,0
34,8901629545137,Almonds 100g,556.65,163,-47,553,29.48,1
34,5004797796950,Sherwani M,555.27,119,-48,995,11.96,1
34,5605549393375,Ankle Weights 1kg Pair,249.16,153,-40,792,19.32,0
34,4001211641880,Fabric Softener 500ml,54.70,104,-33,898,11.58,0
36,8001099193453,Salicylic Acid Toner 100ml,127.06,131,-8,460,28.48,0
37,4008282172510,Grill Pan 28cm,911.47,154,-20,536,28.73,0
37,6904850741714,Panty Liner 20pcs,682.01,205,-26,923,22.21,0
37,6906790632145,Brahmi Oil 100ml,448.60,158,-39,491,32.18,1
41,6902116605695,Soap Bar 100g,175.47,170,-33,534,31.84,0
43,8709047238613,Blush Powder 10g,45.56,213,-35,703,30.30,0
44,5608183079551,Hydration Bladder 2L,483.66,175,-44,750,23.33,0
44,8901163120913,Raincoat Poncho,459.65,201,-2,736,27.31,1
44,5003766143665,Rolling Pin Wooden,437.78,123,-24,599,20.53,0
45,8001290738002,Screen Protector 6.5inch,137.01,159,-13,550,28.91,1
45,5604802915927,Battle Rope 9m,673.91,222,-27,999,22.22,1
46,6908049874733,Mint Candy Roll 40g,169.88,220,-14,675,32.59,1
46,8009351266822,Fenugreek Seeds 100g,147.90,187,-50,793,23.58,1
46,6905763990107,Emergency Foil Blanket,453.78,181,-32,913,19.82,1
48,6904541980415,Paper Clips 100pcs,432.73,191,-45,716,26.68,1
49,5006446807987,Kitchen Scale 5kg,53.89,111,-11,350,31.71,1
50,3008987491337,Baby Oil 100ml,195.95,221,-39,733,30.15,0
50,8702642917990,Green Chilli Pickle 250g,166.06,143,-37,474,30.17,0
51,4004650708466,Noise Cancelling Headphone,2190.33,239,-39,921,25.95,1
51,8005240448461,Bournvita 500g,132.63,162,-19,567,28.57,1
51,8703705332996,Intimate Wash 100ml,729.65,260,-39,885,29.38,0
52,5003836656392,Parchment Paper 10m,345.73,232,-45,812,28.57,0
52,4007702666615,Bourbon Biscuits 200g,68.78,158,-49,638,24.76,0
54,8901885109005,Glucometer Strip 25pcs,528.12,209,-24,719,29.07,1
54,3007079143604,Whey Protein Chocolate 1kg,25.31,218,-23,676,32.25,1
54,8905238829107,Spiral Notebook,26.05,244,-34,738,33.06,1
55,4009935348078,Pen Holder Desk,16.03,244,-19,833,29.29,0
56,4007488998740,Cranberry Juice 500ml,165.97,122,-40,679,17.97,0
57,8008901985985,Alum Block 100g,194.51,102,-24,725,14.07,1
57,5003437984726,Bajra 500g,195.15,134,-40,749,17.89,0
58,6904111805896,Garlic Odourless 60caps,187.36,290,-44,974,29.77,1
58,8906253390931,HDMI Cable 2m,98.74,297,-2,903,32.89,1
60,8901979860744,Ring Binder A4 2-inch,636.32,167,-23,847,19.72,0
60,6901908328262,Dried Cranberry 100g,131.77,110,-49,402,27.36,0
61,8703355981520,Trekking Pole Pair,546.17,220,-3,974,22.59,1
61,8707087290042,First Aid Kit 20-item,266.75,122,-21,840,14.52,1
63,5006571621991,Mouse Pad,143.99,165,-9,952,17.33,1
63,4005744711362,Colander Stainless,38.70,167,-20,962,17.36,1
63,5008196597866,Wireless Mouse,398.23,108,-42,943,11.45,1
65,4001940325631,Furniture Wax 200g,630.05,144,-41,611,23.57,0
65,5609400263395,Watercolour Pad A4,84.18,134,-10,744,18.01,1
