Index,Barcode,Name,Price,Stock,Transactions,Capacity,Percent,Status
0,3009265223657,Chamomile Tea 20bags,834.90,315,26,358,87.99,1
3,8009397571546,Black Pepper 50g,261.11,225,6,291,77.32,0
3,8007571011437,Sona Masoori Rice 1kg,87.06,196,30,257,76.26,1
3,6909779698804,Bajra Flour 500g,162.73,481,23,569,84.53,0
3,5004274587132,Backpack 20L,732.21,527,22,708,74.44,0
4,6901024726577,Shatavari 500mg 60caps,370.18,638,31,696,91.67,1
5,5004871356223,Sponge Scrubber 3pcs,398.31,209,7,266,78.57,1
8,8901394898100,Beard Wash 100ml,588.82,602,25,782,76.98,1
14,8707547925408,Coconut Flour 250g,157.47,724,46,869,83.31,0
15,8003996194885,Laptop Stand,1268.89,215,50,266,80.83,1
15,5607877715737,Bao Steamer 28cm,179.21,184,10,222,82.88,1
16,5609693563257,Chlorine Bleach 1L,578.39,355,32,435,81.61,0
19,3008666317286,UPS 600VA,473.58,226,16,336,67.26,1
19,8903468551089,Dutch Oven 4L,778.29,577,3,852,67.72,0
20,8007869030690,Diffuser Humidifier 300ml,544.38,333,29,412,80.83,0
22,5601068987729,True Wireless Earbuds,675.35,362,21,471,76.86,1
25,8909404316323,Lightning Cable 1m,90.09,441,2,461,95.66,1
25,4005539964836,Garam Masala 50g,238.15,501,1,519,96.53,0
26,8005132824915,Triphala Powder 100g,627.32,396,39,571,69.35,1
28,8006243333815,Avocado Slicer,317.79,299,24,335,89.25,0
32,4002598804097,Hibiscus Tea 20bags,421.05,295,44,389,75.84,0
33,6905140900583,Vicks Inhaler 0.5ml,303.37,632,48,867,72.90,1
33,8009686947588,Report Cover Clear A4,169.52,265,49,329,80.55,0
34,6908568598257,Protein Shake 250ml,245.66,622,18,887,70.12,1
35,6908434735373,Cotton T-Shirt M,476.67,510,35,586,87.03,1
36,8002524629554,Horlicks 500g,260.13,714,6,756,94.44,0
37,5007267428849,Denim Jeans 32W,1304.38,549,6,640,85.78,0
39,8903979987070,Walnuts 100g,67.52,185,19,235,78.72,1
44,8008430421466,Kids T-Shirt 6yr,1085.66,638,48,835,76.41,1
45,4008961891381,Paneer Bhurji Mix 50g,1188.56,567,34,840,67.50,1
45,3004536792313,Boning Knife 15cm,952.73,587,45,647,90.73,1
46,5004699883901,Flaxseeds 200g,295.09,465,18,530,87.74,0
47,8909271868086,Textured Soy Protein 200g,187.10,630,44,698,90.26,0
50,3007943573667,Lice Treatment Shampoo 100ml,288.06,267,33,311,85.85,1
54,8901291725936,Foot Cream 50g,113.98,321,19,361,88.92,1
54,5002682205907,Dried Prune 200g,408.40,146,45,208,70.19,0
55,8905858746488,Cream Crackers 200g,331.27,355,20,495,71.72,1
55,4007750368400,Insect Repellent 200ml,348.29,679,12,727,93.40,0
55,4007323283925,Darjeeling Tea 100g,59.84,796,16,980,81.22,0
58,8005006648586,Cotton T-Shirt L,1144.26,448,27,477,93.92,1
60,8907281765074,Chana Dal 500g,128.29,748,20,807,92.69,1
61,3009441662881,Almond Butter 250g,773.43,593,30,848,69.93,0
61,8708422076062,Desk Calendar 2025,344.22,405,48,517,78.34,1
62,8902407700908,Face Scrub 50g,350.70,400,5,470,85.11,0
62,4009312521308,Pasta Sauce 400g,129.86,547,28,714,76.61,1
62,5606094853802,Hair Wax 50g,456.02,651,16,674,96.59,0
63,8904747498989,Kabuli Chana 500g,268.36,404,45,475,85.05,1
63,8908968783510,B-Complex 30tabs,66.57,371,28,403,92.06,0
63,8907690436596,Stretch Mark Cream 100g,509.35,476,14,642,74.14,1
63,6909880091006,Biodegradable Cutlery Set 10pcs,788.51,354,10,486,72.84,0
66,8901169617707,Jar Opener,24.94,400,14,464,86.21,0
70,5605439018746,Peanut Butter Cup 42g,172.87,574,20,703,81.65,0
72,4005193817127,Tissue Box 200pcs,508.15,373,38,477,78.20,0
73,4005630198192,Under-Bed Storage Box,405.67,261,25,334,78.14,0
75,5001927764209,Spice Box 7-compartment,149.68,649,23,690,94.06,1
76,3006574063462,Retinol Serum 30ml,310.56,604,49,718,84.12,1
76,5001508349795,Table Tennis Net Set,778.47,335,32,367,91.28,1
77,3006432260804,Moongphali Chikki 100g,786.38,833,21,865,96.30,0
80,6903296248856,Maida 1kg,367.79,499,49,571,87.39,0
87,5602177887191,Ginger Extract 30caps,103.16,539,49,765,70.46,0
88,5603986969030,Bulletin Board Cork 2x3ft,588.96,334,5,416,80.29,0
90,5609656678677,Peanut Butter 350g,303.73,366,1,438,83.56,0
91,8902767370292,Glass Cleaner 500ml,385.06,276,3,373,73.99,1
91,8004515346310,VGA to HDMI Adapter,418.46,810,22,840,96.43,0
91,4005279402049,Journal Dotted A5,771.22,660,44,842,78.38,0
93,8002154492580,Burn Gel 20g,265.89,413,39,475,86.95,0
96,8001466309210,Dates 200g,539.61,245,11,259,94.59,1
97,6904366637365,Washing Soda 1kg,134.98,163,29,205,79.51,0
100,8008350178495,Boost 200g,102.56,154,38,213,72.30,0
101,8902561157273,Lamination Pouch A4 10pcs,420.99,250,1,301,83.06,0
102,8009569492860,Resistance Band Set,560.51,356,45,427,83.37,0
102,8903919652181,Sheet Mask Anti-Aging,124.35,531,35,648,81.94,1
102,3005454558364,Corduroy Pants 32W,800.28,771,8,978,78.83,0
103,8903438114719,Nail Cutter,503.02,336,34,412,81.55,0
103,8902550589726,Tribulus 500mg 30caps,83.21,569,23,681,83.55,1
104,4003210103857,Crepe Bandage 10cm,235.28,533,47,731,72.91,0
104,5603134063993,Packing Tape 48mm,587.11,300,27,431,69.61,0
105,6907641815878,Mechanical Pencil 0.5mm,20.16,182,46,245,74.29,1
106,8905945747701,Flattened Rice 500g,254.51,408,26,535,76.26,1
110,8906227359629,Vacuum Bag Large 5pcs,432.82,344,8,507,67.85,1
111,8905249771440,Whole Wheat Atta 5kg,153.42,659,8,705,93.48,0
113,4009711515717,Sambar Powder 100g,136.67,157,37,222,70.72,0
115,5602050491729,Parle-G 100g,404.07,837,10,977,85.67,1
116,6904647999342,Pav Bhaji Masala 50g,76.54,639,50,925,69.08,1
117,8002769344366,Wet Wipes 80pcs,260.27,343,28,443,77.43,1
119,6908696629885,Mustard Oil 500ml,109.78,564,30,617,91.41,1
121,8901600149880,Mixing Bowl Set 3pcs,212.50,724,10,919,78.78,0
122,8909840990552,Skipping Rope Steel,389.21,451,40,645,69.92,1
123,8002826437567,Cockroach Chalk,595.12,582,22,769,75.68,0
