index,barcode,name,quantity,price
1,0373235037388,Pears Soap 75g,377,321.23
2,8900429620945,Everest Garam Masala 100g,301,249.95
3,8906929812958,Himalaya Liv.52 200tab,286,749.73
4,0401496725222,Toblerone 200g,303,463.73
5,0766610590064,Knorr Soup Corn 1g,226,971.73
6,8908185070202,Haldiram Aloo Bhujia 200g,37,270.69
7,0236724853220,Drools Dog Food 100kg,55,2594.24
8,0476728823663,Garnier Face Wash 200ml,161,490.28
9,0415214136177,MTR Rasam Powder 200g,199,289.03
10,8906350109443,Amul Lassi Plain 500ml,209,232.37
11,0125769418047,Syska LED Bulb 9W,210,333.3
12,0767169600754,McCain Smiles 400g,183,373.71
13,0126601908467,Sellotape Transparent Roll,157,1244.83
14,0418416421188,Shan Tikka Masala 200g,285,79.3
15,6902558562006,3M Double-Sided Tape 100mm,261,1878.02
16,8900463172981,Himalaya Pet Shampoo 100ml,90,1848.28
17,8904737491891,Garnier Face Wash 500ml,213,628.35
18,0856999217734,Faber-Castell Pencil 4B Pack of 24,318,313.44
19,0473148470859,Dove Soap 250g,255,681.21
20,0123863455128,Aquafina Water 750ml,233,32.55
21,0410707444500,Kitchen King Masala 500g,154,327.45
22,6900412267159,Duracell AAA Batteries Pack of 12,182,267.67
23,8908468465992,McCain French Fries 200g,37,286.56
24,0767543575531,Kohinoor Basmati 200kg,274,1005.69
25,8903438630011,Scotch-Brite Scrub Pad 6pc,184,335.09
26,0767532802648,Parag Ghee 750ml,83,27.08
27,0354357468076,Harpic Toilet Cleaner 2000ml,84,66.3
28,0414998170537,Amul Butter 1000g,260,513.69
29,0355893520686,Henko Detergent 2000g,298,295.0
30,0750204963402,7UP 330ml,230,206.75
31,0762395292544,Amul Skimmed Milk Powder 750g,210,617.0
32,0413566360806,Catch Salt 200kg,358,544.03
33,0769847768862,Maggi Tomato Ketchup 500g,149,248.6
34,0763552125330,Frooti Mango Drink 750ml,249,45.46
35,8905095129013,Patanjali Ghee 750g,266,859.74
36,0411967743129,Catch Cumin Powder 200g,20,290.87
37,0769638074608,Eclairs Toffee Pack 55g,493,884.7
38,8906127164224,Vicks Inhaler,443,63.09
39,0237109120692,Me-O Cat Food Original 100kg,82,1483.43
40,0122293094952,Syska LED Bulb 20W,134,761.14
41,4000304022568,Dettol Antiseptic Liquid 60ml,386,182.32
42,3812833670759,Johnson's Baby Shampoo 200ml,145,1150.08
43,3813619783199,Vicks VapoRub 30g,418,640.15
44,3812090657067,Dolo 650mg Strip 60tab,474,731.68
45,0767125788687,Dr. Oetker Pizza Pepperoni 1000g,111,195.21
46,0376816353181,Pantene Conditioner 100ml,205,338.64
47,3817485399492,Axe Deodorant 250ml,136,639.75
48,0412260588851,Vadilal Ice Cream Margherita 1000ml,18,257.54
49,8904437390920,Domex Toilet Cleaner 250ml,65,471.07
50,0403590790069,Milkybar 30g,388,516.68
51,3816280466941,Vicks Inhaler,485,689.93
52,0381273703073,Oreo Biscuits 250g,525,215.76
53,0761104810475,Daawat Basmati Rice 100kg,149,329.38
54,0407498505961,Skittles Fruit 100g,422,477.91
55,0216842444104,Vim Dishwash Gel 1000ml,212,388.3
56,8900562630993,Royal Canin Cat Food 100kg,27,1932.63
57,6905604037688,Duracell AA Batteries Pack of 4,238,699.56
58,8900151109800,Lizol Floor Cleaner 2000ml,239,64.65
59,8904281772514,Knorr Soup Mushroom 1g,339,1037.05
60,6904709609677,3M Double-Sided Tape 100mm,182,992.5
61,0412638867960,McCain French Fries 250g,151,553.17
62,8908209537209,Domex Toilet Cleaner 100ml,70,327.83
63,0757305906574,Maaza Mango 2000ml,55,98.05
64,0471886815857,Colgate Toothbrush Hard,15,213.27
65,6904505313662,Mi USB Cable 100m,64,1416.38
66,0385685883316,Yippee Noodles 150g,558,232.84
67,0408892795279,Milkybar 45g,198,166.97
68,6902359396213,Panasonic AA Batteries Pack of 6,260,346.96
69,3810413795168,MamyPoko Diapers XXL Pack of 56,52,1696.0
70,0856202753943,Stapler Pins Pack of 20,693,79.17
71,0232935554109,Milk-Bone Dog Treats 100g,72,1784.33
72,8909919066065,Frooti Mango Drink 500ml,175,168.69
73,8903646949066,Catit Cat Litter 100kg,72,1118.0
74,0857056940770,Classmate Notebook 140pg Four Line,208,141.49
75,8902883273101,Whiskas Cat Food Original 100kg,56,1976.5
76,0762360073390,Godrej Real Good Chicken 400g,164,131.12
77,0766021792538,Britannia Cheese Slices 750g,113,137.14
78,0373199329352,Chicco Baby Bottle 100ml,181,1800.88
79,0700086215045,Luxor Marker Blue,230,291.95
80,8908341114801,Appy Fizz 250ml,392,176.07
81,6902485841014,Panasonic AA Batteries Pack of 6,203,1355.63
82,4018531632634,Pantene Shampoo 250ml,395,72.2
83,3815191248806,Cerelac Wheat 400g,173,1955.09
84,0281746853086,Britannia Marie Gold 50g,306,231.43
85,0411294975972,Dr. Oetker Pizza Pepperoni 200g,156,475.15
86,8908794569449,Tide Detergent 1500g,264,76.79
87,3815699778942,Dolo 650mg Strip 20tab,225,27.85
88,0417051742962,India Gate Basmati Rice 5kg,247,707.16
89,8902492057604,Pril Dishwash 1000ml,238,137.48
90,4718524039586,Faber-Castell Pencil 6B Pack of 12,152,281.74
91,4712064621522,Duracell AAA Batteries Pack of 8,145,297.39
92,0414844880894,MDH Rajma Masala 500g,33,332.08
93,0418493892352,MDH Chaat Masala 500g,440,309.02
94,8908678572794,Chicco Baby Bottle 400ml,182,348.38
95,0852994383887,Natraj Color Pencils Pack of 24,536,119.96
96,8903241895416,Everest Coriander Powder 200g,171,69.83
97,0371288152379,Himalaya Baby Shampoo 100ml,110,711.26
98,0124238963477,Portronics USB Cable 100m,76,1017.93
99,0764173954491,Danone Yogurt Strawberry 1000g,41,362.49
100,0383491903204,Doritos Pepper 400g,524,103.99
101,4006752329365,Paracetamol 500mg Strip 15tab,462,26.48
102,8903310090124,Maggi Tomato Ketchup 1000g,220,430.98
103,0402686800354,Bourbon Biscuits 90g,264,39.54
104,0235618575033,Royal Canin Dog Food 100kg,135,2253.28
105,0410959307349,Godrej Real Good Chicken 250g,84,396.61
106,0418014973126,Tata Salt 750kg,117,1095.9
107,3814070525588,Vicks Inhaler,319,419.99
108,0211291774192,Wheel Detergent 100g,34,298.26
109,0355820161135,Mortein Spray 2000ml,86,87.63
110,4717712145191,Havells LED Bulb 15W,139,1614.47
111,4014938111918,Fair & Lovely Cream 100g,222,129.46
112,3002938295630,Revital H 200tab,296,502.85
113,6900452104384,Mi Power Bank 10000mAh,37,277.53
114,4000687165388,Ibuprofen 400mg Strip 100tab,348,400.6
115,0852172806276,Lexi Ball Pen 10pc Pack,678,352.95
116,4712544353455,Stapler Pins Pack of 24,538,49.05
117,0767520686328,Britannia Cheese Slices 100g,101,180.06
118,8902410810199,PetSafe Dog Collar,115,1189.36
119,0414922248837,Mother Dairy Milk 250ml,239,386.71
120,0471993797374,Sensodyne Toothpaste 150g,371,453.31
121,0491534222684,Lipton Green Tea 750g,476,54.8
122,0404182721089,Center Fresh Gum Pack,417,882.34
123,0412507764932,Catch Salt 100kg,44,555.13
124,0419417081197,Maggi Masala Sauce 500g,353,1059.2
125,0409010101873,Dairy Milk Silk 55g,506,73.97
126,3817043832829,Hajmola Tablet 15tab,151,592.52
127,0416690575351,Dr. Oetker Mayonnaise 750g,326,690.57
128,0124096096638,Syska LED Bulb 5W,197,1919.77
129,0382331393038,Doritos Pepper 50g,559,190.4
130,8904294620383,Harpic Toilet Cleaner 2000ml,292,384.25
131,0350259730730,Surf Excel 250g,70,300.96
132,8904109731204,Kitchen King Masala 50g,422,87.67
133,0763364142020,Maggi Masala Sauce 2g,17,1061.59
134,0370578736541,Pampers Diapers XXL Pack of 30,44,372.8
135,8904311538721,Fortune Atta 5kg,279,1066.85
136,0767978371951,ITC Sunfeast Frozen Paratha 4pc,154,546.35
137,0129197510144,boAt USB Cable 100m,59,53.79
138,0857424624356,Maped Sharpener,758,290.75
139,8905856806436,Mother Dairy Dahi 200g,158,624.94
140,0761575369687,Daawat Basmati Rice 750kg,65,315.91
141,0354164947375,All Out Mosquito Refill,246,233.23
142,0411866761057,Kwality Wall's Ice Cream 1000ml,42,212.23
143,0375413263145,Huggies Diapers XL Pack of 30,16,1085.93
144,0281924328030,Parle-G Biscuits 50g,582,26.75
145,0755818277792,Tata Tea Premium 500g,344,201.55
146,0389781768553,Kurkure Chilli 100g,64,33.71
147,6909097266259,Philips LED Bulb 15W,125,1338.44
148,0404312574035,Mentos Original 150g,508,334.2
149,0495604884383,Lipton Green Tea 330g,309,61.99
150,8905081893768,Too Yumm Cream & Onion 50g,545,198.57
151,0211544961157,Odonil Room Freshener 250g,220,107.5
152,8904701324668,Himalayan Water 330ml,419,131.09
153,0767330724708,Chupa Chups 12pc,275,1004.9
154,8909679217752,Amul Toned Milk 1500ml,229,678.91
155,4014570906408,Oral-B Toothbrush Medium,212,111.38
156,0122298816511,Tetley Black Tea 1000g,252,200.99
157,0126077589474,Energizer AA Batteries Pack of 12,264,199.96
158,0406473516572,KitKat 150g,336,130.43
159,0211804406503,Exo Dishwash Bar 100g,70,205.55
160,8907438872297,Crocin 500mg Strip 100tab,315,365.0
161,8900259129861,Everest Chilli Powder 50g,394,36.63
162,0757286712331,Aquafina Water 250ml,327,57.89
163,0705977929575,Cello Pen Standard Black,170,331.29
164,6905094193390,3M Double-Sided Tape 100mm,275,1783.12
165,3813730443002,Revital H 15tab,229,683.14
166,0704108619057,Luxor Marker Red,604,135.71
167,0415050611869,Haldiram Frozen Samosa 4pc,28,338.44
168,6906736086841,Sellotape Transparent Roll,197,1751.35
169,8903397033984,Haldiram Frozen Samosa 6pc,152,353.77
170,0380983050972,Lifebuoy Soap 75g,36,562.52
171,0389794025735,Whiskas Cat Food Original 100kg,138,948.79
172,0418746716107,Everest Coriander Powder 100g,400,272.26
173,0763282722977,Chupa Chups 24pc,219,1016.64
174,0406435713612,5-Star 30g,133,837.25
175,0411714355971,Suhana Biryani Masala 500g,115,315.85
176,0376846738217,Oral-B Toothbrush Soft,36,403.17
177,0380810355461,Himalaya Pet Shampoo 100ml,99,675.38
178,0370041745421,Johnson's Baby Wash 200ml,174,592.99
179,4010054203315,Dove Soap 400g,274,626.2
180,4019982473340,Axe Deodorant 100ml,309,52.25
181,8901199060603,Bru Coffee 1000g,454,159.88
182,8901246873552,Nestum Rice Cereal 50g,188,1482.64
183,8905568748727,Catch Salt 1000kg,66,869.07
184,4716235590532,Navneet Notebook 200pg,686,224.7
185,8905704008746,Amul Gold Milk 1500ml,223,692.99
186,0855164302190,Fevicol Glue 100ml,113,32.75
187,0709294909685,Natraj Color Pencils Pack of 100,511,13.45
188,8900854715193,Safal Green Peas 400g,91,499.57
189,0418323552388,Nestle Slim Milk 500ml,114,212.26
190,8908979029546,Amul Toned Milk 250ml,282,93.28
191,0125413886734,Bournvita 1000g,296,172.9
192,0386590051456,Trixie Dog Leash 100m,96,672.92
193,0381779905377,Whiskas Cat Food Original 100kg,25,1226.06
194,8909878943964,Robin Fabric Whitener 500ml,142,495.48
195,0756861032192,Nescafe Classic 1000g,131,89.38
196,8907346207655,Robin Fabric Whitener 750ml,149,578.36
197,0372585976064,Mee Mee Baby Wipes Pack of 56,66,643.62
198,0704364650849,Fevistick Glue Stick 100g,493,78.78
199,4718725704542,Camlin Geometry Box,185,20.98
200,4712983365729,Reynolds Pen Red,532,292.86
201,0408260031626,Bourbon Biscuits 200g,481,282.98
202,0701836558009,Faber-Castell Pencil 6B Pack of 24,660,379.58
203,4717322280268,Osram LED Bulb 20W,272,1453.35
204,0212864991886,Surf Excel 1000g,179,203.88
205,8902785669378,Milk-Bone Dog Treats 100g,90,2787.07
206,3003664216661,Band-Aid Strips Pack of 25,34,478.53
207,8901200531092,Bikaji Namkeen 25g,421,167.58
208,0376337263624,Nestum Rice Cereal 500g,36,1868.23
209,8907500519174,Pantene Shampoo 400ml,126,34.9
210,3819427954134,Gerber Puffs Apple 400g,14,976.66
211,0414657442135,Amul Ice Cream Butter Pecan 750ml,37,239.52
212,0416490674346,Shan Tikka Masala 200g,179,286.18
213,0497713358472,Red Bull 250ml Energy Drink,127,154.38
214,4019567974255,Gillette Fusion Razor,268,176.97
215,8908578268865,Colin Glass Cleaner 1000ml,35,81.01
216,8902580873277,Iodex Pain Balm 10g,361,238.95
217,0381427443985,Royal Canin Dog Food 100kg,135,2786.09
218,0763541672029,M&Ms Fruit 40g,541,147.62
219,8906608707278,Haldiram Bhujia 100g,194,171.37
220,0407261178439,Parle-G Biscuits 200g,170,119.79
221,0370108717781,Listerine Mouthwash 500ml,280,615.48
222,0122801902571,Portronics USB Cable 100m,97,1225.21
223,0382089288907,Trixie Dog Leash 100m,111,1889.25
224,0213455695930,Domex Toilet Cleaner 250ml,97,72.96
225,8904363429848,Himalaya Baby Shampoo 400ml,72,1565.23
226,0415176065867,ITC Sunfeast Frozen Paratha 8pc,152,184.9
227,0380048214837,Top Ramen Cheese 90g,140,17.46
228,0125184108424,Himalayan Water 200ml,427,190.94
229,6909375465725,Syska LED Bulb 12W,23,1654.42
230,3818310047694,Pigeon Baby Bottle 400ml,11,1559.94
231,8908255945034,Annapurna Atta 200kg,268,420.0
232,8905149622941,Milk-Bone Dog Treats 100g,12,830.09
233,3819037013344,Himalaya Baby Cream 400g,151,386.86
234,0234962798778,Pedigree Dog Food Original 100kg,105,1515.14
235,8909470808319,Gerber Puffs Peach 400g,186,760.04
236,3815355358181,Himalaya Baby Shampoo 200ml,59,786.46
237,0375485794622,Pepsodent Toothpaste 100g,175,635.18
238,4717218262590,Lexi Ball Pen 10pc Pack,592,73.91
239,0754268978297,Tropicana Orange Juice 330ml,151,233.99
240,0754584960181,Limca Lemon 500ml,277,97.29
241,4007155124120,Ibuprofen 400mg Strip 30tab,244,298.86
