Index,Barcode,Name,Price,Stock,Transactions,Capacity,Percent,Status
1,8005853640559,USB-C to USB-C Cable 2m,81.25,234,-44,268,87.31,0
1,5008075075591,Hot Water Bag,130.04,380,49,769,49.41,1
1,4002351333918,Garlic Pickle 250g,182.95,629,-47,747,84.20,0
1,3009265223657,Chamomile Tea 20bags,834.90,315,26,358,87.99,1
1,8008799201822,Palette Plastic 12-well,265.60,108,-9,607,17.79,0
2,8901885109005,Glucometer Strip 25pcs,528.12,209,-24,719,29.07,1
2,4004339661716,Callus Remover File,192.37,149,-32,296,50.34,1
2,8002878258561,Mundu Kerala White,628.58,438,-5,440,99.55,1
3,5001027501292,Mop Refill,468.66,512,37,951,53.84,0
3,5009033582908,White Correction Fluid,598.46,274,-30,632,43.35,0
3,6903801875812,Spatula Silicone,523.09,439,19,808,54.33,1
3,8003243042969,Choco Pie 6pcs,389.70,247,-13,886,27.88,0
3,8009133193216,Brush Set Round 8pcs,736.21,159,21,570,27.89,1
3,8003938378878,TRX Suspension Trainer,54.56,108,37,670,16.12,1
4,8009397571546,Black Pepper 50g,261.11,225,6,291,77.32,0
4,8007571011437,Sona Masoori Rice 1kg,87.06,196,30,257,76.26,1
4,6909779698804,Bajra Flour 500g,162.73,481,23,569,84.53,0
4,8705335309638,Mass Gainer 1kg,100.02,206,-22,232,88.79,1
4,5004274587132,Backpack 20L,732.21,527,22,708,74.44,0
5,8702963695201,Dried Ginger Powder 50g,185.23,315,-12,397,79.35,0
5,8003646966251,Pizza Sauce 200g,228.95,879,-24,938,93.71,1
5,6909970060349,Imli Goli 50g,288.22,521,-4,760,68.55,0
5,3009419605148,USB-A Hub 4-port,222.91,569,-5,603,94.36,1
5,4004650708466,Noise Cancelling Headphone,2190.33,239,-39,921,25.95,1
5,6901024726577,Shatavari 500mg 60caps,370.18,638,31,696,91.67,1
6,8905613984865,Toothpaste 150g,89.91,299,-1,587,50.94,1
6,5003836656392,Parchment Paper 10m,345.73,232,-45,812,28.57,0
6,5004871356223,Sponge Scrubber 3pcs,398.31,209,7,266,78.57,1
6,6902183821462,Almond Flour 250g,267.77,316,-24,696,45.40,0
6,4006038952027,Shoe Polish Black 50g,521.17,524,16,994,52.72,1
6,5006237489019,Ethernet RJ45 Coupler,166.69,674,-2,678,99.41,1
8,5609278774023,Vinegar White 500ml,389.32,619,16,995,62.21,1
8,8907845309805,Rubber Stamp Custom,235.69,180,-5,515,34.95,1
9,8907402934754,Polo T-Shirt M,1489.21,225,-9,641,35.10,0
9,8907730974774,Cap Baseball,167.84,351,34,647,54.25,1
9,8901394898100,Beard Wash 100ml,588.82,602,25,782,76.98,1
9,5604448129481,Cuticle Oil 10ml,159.07,214,25,635,33.70,1
9,3004773653842,Bread Knife 20cm,384.93,261,-37,533,48.97,0
10,8907123166359,BP Monitor Manual,1145.28,131,3,589,22.24,1
10,3004956542260,Garlic Powder 50g,603.49,536,-14,706,75.92,1
11,8905771582699,Kitchen King Masala 50g,271.25,700,-4,778,89.97,1
11,5002673288155,Gongura Pickle 200g,240.00,350,6,698,50.14,0
11,5606389492792,Suede Protector Spray 200ml,135.95,115,29,449,25.61,0
11,6906241870676,Stamp Ink Pad Black,714.19,148,-37,402,36.82,1
11,5004274198185,Travel Duffel 40L,117.67,679,-50,835,81.32,0
11,8703355981520,Trekking Pole Pair,546.17,220,-3,974,22.59,1
12,8703306873249,Sanitary Pads XL 8pcs,733.70,471,44,970,48.56,1
12,6904409138231,Gel Heel Cushion Pair,161.58,354,-25,734,48.23,0
